imagefile,salt_pepper,max_distance,line_count,total_pixels,black_pixels
NoisyImage-LINECOUNT-2-SP-0.950-MAXD-2.0.png,0.95,2.0,2,15000,972
NoisyImage-LINECOUNT-2-SP-0.950-MAXD-3.0.png,0.95,3.0,2,15000,909
NoisyImage-LINECOUNT-2-SP-0.950-MAXD-5.0.png,0.95,5.0,2,15000,882
NoisyImage-LINECOUNT-2-SP-0.970-MAXD-2.0.png,0.97,2.0,2,15000,721
NoisyImage-LINECOUNT-2-SP-0.970-MAXD-3.0.png,0.97,3.0,2,15000,601
NoisyImage-LINECOUNT-2-SP-0.970-MAXD-5.0.png,0.97,5.0,2,15000,538
NoisyImage-LINECOUNT-2-SP-0.990-MAXD-2.0.png,0.99,2.0,2,15000,432
NoisyImage-LINECOUNT-2-SP-0.990-MAXD-3.0.png,0.99,3.0,2,15000,304
NoisyImage-LINECOUNT-2-SP-0.990-MAXD-5.0.png,0.99,5.0,2,15000,241
