imagefile,salt_pepper,max_distance,line_count,total_pixels,black_pixels
NoisyImage-LINECOUNT-1-SP-0.950-MAXD-2.0.png,0.95,2.0,1,15000,840
NoisyImage-LINECOUNT-1-SP-0.950-MAXD-3.0.png,0.95,3.0,1,15000,788
NoisyImage-LINECOUNT-1-SP-0.950-MAXD-5.0.png,0.95,5.0,1,15000,758
NoisyImage-LINECOUNT-1-SP-0.970-MAXD-2.0.png,0.97,2.0,1,15000,541
NoisyImage-LINECOUNT-1-SP-0.970-MAXD-3.0.png,0.97,3.0,1,15000,481
NoisyImage-LINECOUNT-1-SP-0.970-MAXD-5.0.png,0.97,5.0,1,15000,450
NoisyImage-LINECOUNT-1-SP-0.990-MAXD-2.0.png,0.99,2.0,1,15000,218
NoisyImage-LINECOUNT-1-SP-0.990-MAXD-3.0.png,0.99,3.0,1,15000,217
NoisyImage-LINECOUNT-1-SP-0.990-MAXD-5.0.png,0.99,5.0,1,15000,187
